store_id,retailer,retailer_key,address,zip_code,full_address,latitude,longitude,geocode_source,geocode_confidence
556,Safeway,safeway,601 Broadway,69361,"601 Broadway, Scottsbluff, NE 69361",41.872,-103.6619,zip_centroid,zip_centroid
1554,Safeway,safeway,730 Mountain View Rd,57702,"730 Mountain View Rd, Rapid City, SD 57702",44.0036,-103.3589,zip_centroid,zip_centroid
581,Safeway,safeway,2120 Mt Rushmore Rd,57701,"2120 Mt Rushmore Rd, Rapid City, SD 57701",44.1415,-103.2052,zip_centroid,zip_centroid
183,Albertsons,albertsons,105 Buffalo Way,83001,"105 Buffalo Way, Jackson, WY 83001",43.4528,-110.7393,zip_centroid,zip_centroid
2625,Safeway,safeway,681 Horizon Dr,81506,"681 Horizon Dr, Grand Junction, CO 81506",39.1032,-108.5491,zip_centroid,zip_centroid
1533,Safeway,safeway,2901 F Rd,81504,"2901 F Rd, Grand Junction, CO 81504",39.0791,-108.4916,zip_centroid,zip_centroid
897,Safeway,safeway,2512 Broadway,81507,"2512 Broadway, Grand Junction, CO 81507",39.0157,-108.6129,zip_centroid,zip_centroid
631,Safeway,safeway,2131 N Frontage Rd W,81657,"2131 N Frontage Rd W, Vail, CO 81657",39.6512,-106.3234,zip_centroid,zip_centroid
1863,Safeway,safeway,1550 Hwy 92,81416,"1550 Hwy 92, Delta, CO 81416",38.7349,-108.0604,zip_centroid,zip_centroid
1568,Safeway,safeway,40 County Rd 804,80442,"40 County Rd 804, Fraser, CO 80442",39.945,-105.8172,zip_centroid,zip_centroid
836,Safeway,safeway,1008 Summit Blvd,80443,"1008 Summit Blvd, Frisco, CO 80443",39.5589,-106.1332,zip_centroid,zip_centroid
159,Albertsons,albertsons,330 E Benton St,83201,"330 E Benton St, Pocatello, ID 83201",42.8876,-112.4381,zip_centroid,zip_centroid
138,Albertsons,albertsons,590 E 17th St,83404,"590 E 17th St, Idaho Falls, ID 83404",43.475,-112.0124,zip_centroid,zip_centroid
145,Albertsons,albertsons,1705 W Broadway St,83402,"1705 W Broadway St, Idaho Falls, ID 83402",43.4934,-112.0578,zip_centroid,zip_centroid
3174,Albertsons,albertsons,1901 S 25th E,83406,"1901 S 25th E, Ammon, ID 83406",43.4732,-111.9661,zip_centroid,zip_centroid
171,Albertsons,albertsons,490 N 2nd E,83440,"490 N 2nd E, Rexburg, ID 83440",43.81,-111.789,zip_centroid,zip_centroid
